SYMBOL_NAME,Time,ASK_PRICE,ASK_SIZE,BID_PRICE,BID_SIZE
MILLBURN::::CL.NY.J.2025,2025-03-02T20:58:00.000000000-0500,70.5,13,70.49,13
MILLBURN::::CL.NY.J.2025,2025-03-02T20:59:00.000000000-0500,70.48,9,70.47,6
MILLBURN::::CL.NY.J.2025,2025-03-02T21:00:00.000000000-0500,70.51,6,70.5,9
MILLBURN::::CL.NY.J.2025,2025-03-02T21:01:00.000000000-0500,70.51,7,70.5,9
MILLBURN::::CL.NY.J.2025,2025-03-02T21:02:00.000000000-0500,70.51,16,70.5,1
MILLBURN::::CL.NY.J.2025,2025-03-02T21:03:00.000000000-0500,70.51,3,70.5,10
MILLBURN::::CL.NY.J.2025,2025-03-02T21:04:00.000000000-0500,70.51,14,70.5,12
MILLBURN::::CL.NY.J.2025,2025-03-02T21:05:00.000000000-0500,70.52,12,70.51,6
MILLBURN::::CL.NY.J.2025,2025-03-02T21:06:00.000000000-0500,70.52,10,70.51,4
MILLBURN::::CL.NY.J.2025,2025-03-02T21:07:00.000000000-0500,70.56,5,70.55,7
MILLBURN::::CL.NY.J.2025,2025-03-02T21:08:00.000000000-0500,70.55,9,70.54,6
MILLBURN::::CL.NY.J.2025,2025-03-02T21:09:00.000000000-0500,70.59,2,70.58,10
MILLBURN::::CL.NY.J.2025,2025-03-02T21:10:00.000000000-0500,70.57,7,70.56,10
MILLBURN::::CL.NY.J.2025,2025-03-02T21:11:00.000000000-0500,70.57,8,70.56,7
MILLBURN::::CL.NY.J.2025,2025-03-02T21:12:00.000000000-0500,70.55,5,70.54,14
MILLBURN::::CL.NY.J.2025,2025-03-02T21:13:00.000000000-0500,70.54,9,70.53,4
MILLBURN::::CL.NY.J.2025,2025-03-02T21:14:00.000000000-0500,70.54,12,70.52,18
MILLBURN::::CL.NY.J.2025,2025-03-02T21:15:00.000000000-0500,70.55,1,70.54,20
MILLBURN::::CL.NY.J.2025,2025-03-02T21:16:00.000000000-0500,70.55,12,70.54,8
MILLBURN::::CL.NY.J.2025,2025-03-02T21:17:00.000000000-0500,70.51,6,70.5,7
MILLBURN::::CL.NY.J.2025,2025-03-02T21:18:00.000000000-0500,70.51,7,70.5,5
MILLBURN::::CL.NY.J.2025,2025-03-02T21:19:00.000000000-0500,70.54,17,70.52,7
MILLBURN::::CL.NY.J.2025,2025-03-02T21:20:00.000000000-0500,70.53,5,70.52,6
MILLBURN::::CL.NY.J.2025,2025-03-02T21:21:00.000000000-0500,70.52,9,70.51,3
MILLBURN::::CL.NY.J.2025,2025-03-02T21:22:00.000000000-0500,70.53,7,70.52,6
MILLBURN::::CL.NY.J.2025,2025-03-02T21:23:00.000000000-0500,70.53,9,70.52,4
MILLBURN::::CL.NY.J.2025,2025-03-02T21:24:00.000000000-0500,70.53,11,70.51,13
MILLBURN::::CL.NY.J.2025,2025-03-02T21:25:00.000000000-0500,70.53,9,70.52,3
MILLBURN::::CL.NY.J.2025,2025-03-02T21:26:00.000000000-0500,70.5,10,70.49,7
MILLBURN::::CL.NY.J.2025,2025-03-02T21:27:00.000000000-0500,70.51,12,70.49,16
MILLBURN::::CL.NY.J.2025,2025-03-02T21:28:00.000000000-0500,70.5,3,70.49,9
MILLBURN::::CL.NY.J.2025,2025-03-02T21:29:00.000000000-0500,70.51,17,70.5,1
MILLBURN::::CL.NY.J.2025,2025-03-02T21:30:00.000000000-0500,70.52,6,70.51,5
MILLBURN::::CL.NY.J.2025,2025-03-02T21:31:00.000000000-0500,70.5,9,70.49,3
MILLBURN::::CL.NY.J.2025,2025-03-02T21:32:00.000000000-0500,70.48,2,70.47,15
MILLBURN::::CL.NY.J.2025,2025-03-02T21:33:00.000000000-0500,70.47,10,70.46,3
MILLBURN::::CL.NY.J.2025,2025-03-02T21:34:00.000000000-0500,70.45,4,70.44,16
MILLBURN::::CL.NY.J.2025,2025-03-02T21:35:00.000000000-0500,70.43,8,70.42,6
MILLBURN::::CL.NY.J.2025,2025-03-02T21:36:00.000000000-0500,70.44,17,70.43,2
MILLBURN::::CL.NY.J.2025,2025-03-02T21:37:00.000000000-0500,70.4,2,70.39,10
MILLBURN::::CL.NY.J.2025,2025-03-02T21:38:00.000000000-0500,70.42,11,70.41,8
MILLBURN::::CL.NY.J.2025,2025-03-02T21:39:00.000000000-0500,70.39,5,70.38,17
MILLBURN::::CL.NY.J.2025,2025-03-02T21:40:00.000000000-0500,70.38,9,70.37,9
MILLBURN::::CL.NY.J.2025,2025-03-02T21:41:00.000000000-0500,70.38,17,70.36,11
MILLBURN::::CL.NY.J.2025,2025-03-02T21:42:00.000000000-0500,70.39,5,70.38,5
MILLBURN::::CL.NY.J.2025,2025-03-02T21:43:00.000000000-0500,70.39,2,70.38,10
MILLBURN::::CL.NY.J.2025,2025-03-02T21:44:00.000000000-0500,70.39,4,70.38,7
MILLBURN::::CL.NY.J.2025,2025-03-02T21:45:00.000000000-0500,70.42,13,70.41,2
MILLBURN::::CL.NY.J.2025,2025-03-02T21:46:00.000000000-0500,70.42,22,70.4,10
MILLBURN::::CL.NY.J.2025,2025-03-02T21:47:00.000000000-0500,70.39,3,70.38,10
MILLBURN::::CL.NY.J.2025,2025-03-02T21:48:00.000000000-0500,70.37,3,70.36,13
MILLBURN::::CL.NY.J.2025,2025-03-02T21:49:00.000000000-0500,70.34,10,70.33,5
MILLBURN::::CL.NY.J.2025,2025-03-02T21:50:00.000000000-0500,70.35,7,70.34,5
MILLBURN::::CL.NY.J.2025,2025-03-02T21:51:00.000000000-0500,70.35,6,70.34,7
MILLBURN::::CL.NY.J.2025,2025-03-02T21:52:00.000000000-0500,70.35,9,70.34,4
MILLBURN::::CL.NY.J.2025,2025-03-02T21:53:00.000000000-0500,70.35,4,70.34,16
MILLBURN::::CL.NY.J.2025,2025-03-02T21:54:00.000000000-0500,70.36,11,70.35,2
MILLBURN::::CL.NY.J.2025,2025-03-02T21:55:00.000000000-0500,70.33,10,70.32,2
MILLBURN::::CL.NY.J.2025,2025-03-02T21:56:00.000000000-0500,70.32,10,70.31,6
MILLBURN::::CL.NY.J.2025,2025-03-02T21:57:00.000000000-0500,70.32,7,70.31,7
MILLBURN::::CL.NY.J.2025,2025-03-02T21:58:00.000000000-0500,70.3,1,70.29,17
MILLBURN::::CL.NY.J.2025,2025-03-02T21:59:00.000000000-0500,70.29,4,70.28,9
MILLBURN::::CL.NY.J.2025,2025-03-02T22:00:00.000000000-0500,70.3,7,70.29,9
MILLBURN::::CL.NY.J.2025,2025-03-02T22:01:00.000000000-0500,70.28,4,70.27,13
MILLBURN::::CL.NY.J.2025,2025-03-02T22:02:00.000000000-0500,70.27,15,70.26,6
MILLBURN::::CL.NY.J.2025,2025-03-02T22:03:00.000000000-0500,70.24,1,70.23,14
MILLBURN::::CL.NY.J.2025,2025-03-02T22:04:00.000000000-0500,70.25,19,70.24,5
MILLBURN::::CL.NY.J.2025,2025-03-02T22:05:00.000000000-0500,70.25,11,70.23,13
MILLBURN::::CL.NY.J.2025,2025-03-02T22:06:00.000000000-0500,70.25,6,70.24,5
MILLBURN::::CL.NY.J.2025,2025-03-02T22:07:00.000000000-0500,70.23,5,70.22,9
MILLBURN::::CL.NY.J.2025,2025-03-02T22:08:00.000000000-0500,70.23,6,70.22,7
MILLBURN::::CL.NY.J.2025,2025-03-02T22:09:00.000000000-0500,70.24,7,70.23,7
MILLBURN::::CL.NY.J.2025,2025-03-02T22:10:00.000000000-0500,70.25,10,70.24,7
MILLBURN::::CL.NY.J.2025,2025-03-02T22:11:00.000000000-0500,70.23,6,70.22,13
MILLBURN::::CL.NY.J.2025,2025-03-02T22:12:00.000000000-0500,70.23,4,70.22,9
MILLBURN::::CL.NY.J.2025,2025-03-02T22:13:00.000000000-0500,70.22,11,70.21,12
MILLBURN::::CL.NY.J.2025,2025-03-02T22:14:00.000000000-0500,70.19,24,70.17,11
MILLBURN::::CL.NY.J.2025,2025-03-02T22:15:00.000000000-0500,70.21,10,70.2,2
MILLBURN::::CL.NY.J.2025,2025-03-02T22:16:00.000000000-0500,70.2,10,70.19,5
MILLBURN::::CL.NY.J.2025,2025-03-02T22:17:00.000000000-0500,70.2,12,70.18,14
MILLBURN::::CL.NY.J.2025,2025-03-02T22:18:00.000000000-0500,70.15,8,70.14,5
MILLBURN::::CL.NY.J.2025,2025-03-02T22:19:00.000000000-0500,70.15,9,70.14,7
MILLBURN::::CL.NY.J.2025,2025-03-02T22:20:00.000000000-0500,70.1,13,70.09,2
MILLBURN::::CL.NY.J.2025,2025-03-02T22:21:00.000000000-0500,70.08,10,70.07,8
MILLBURN::::CL.NY.J.2025,2025-03-02T22:22:00.000000000-0500,70.1,8,70.09,7
MILLBURN::::CL.NY.J.2025,2025-03-02T22:23:00.000000000-0500,70.1,2,70.09,12
MILLBURN::::CL.NY.J.2025,2025-03-02T22:24:00.000000000-0500,70.1,13,70.09,2
MILLBURN::::CL.NY.J.2025,2025-03-02T22:25:00.000000000-0500,70.11,14,70.1,6
MILLBURN::::CL.NY.J.2025,2025-03-02T22:26:00.000000000-0500,70.08,6,70.07,8
MILLBURN::::CL.NY.J.2025,2025-03-02T22:27:00.000000000-0500,70.06,19,70.04,10
MILLBURN::::CL.NY.J.2025,2025-03-02T22:28:00.000000000-0500,70.07,21,70.06,4
MILLBURN::::CL.NY.J.2025,2025-03-02T22:29:00.000000000-0500,70.08,4,70.07,7
MILLBURN::::CL.NY.J.2025,2025-03-02T22:30:00.000000000-0500,70.11,8,70.1,7
MILLBURN::::CL.NY.J.2025,2025-03-02T22:31:00.000000000-0500,70.13,4,70.12,7
MILLBURN::::CL.NY.J.2025,2025-03-02T22:32:00.000000000-0500,70.1,1,70.09,11
MILLBURN::::CL.NY.J.2025,2025-03-02T22:33:00.000000000-0500,70.09,8,70.08,13
MILLBURN::::CL.NY.J.2025,2025-03-02T22:34:00.000000000-0500,70.1,8,70.09,10
MILLBURN::::CL.NY.J.2025,2025-03-02T22:35:00.000000000-0500,70.13,1,70.12,12
